Repeat	Precision	Recall	F1_Score
0	0.903602333680496	0.9344450833812536	0.917922294728662
1	0.901094265809784	0.9384703852788959	0.9183830119396033
2	0.905186577962317	0.9309948246118459	0.9174840280667008
3	0.9007286520471935	0.9298447383553766	0.9144621445812575
4	0.9022245087110797	0.9367452558941921	0.9182875771129916
5	0.901225942864707	0.9332949971247844	0.9160672447715027
6	0.9059621807710819	0.933870040253019	0.9188830663030829
7	0.9012806438390276	0.9378953421506613	0.9185174089239848
8	0.9010868178137906	0.9344450833812536	0.9168598071077972
9	0.8961403181323223	0.9275445658424382	0.9110327289771971

Avg.	0.9018532241631801	0.9337550316273722	0.9167899312512781
