1-Repeat:	F1: 0.8824959610034367	Precision: 0.8809543845487094	Recall: 0.8844163312248419
2-Repeat:	F1: 0.8736671341748258	Precision: 0.8658514541008703	Recall: 0.8832662449683726
3-Repeat:	F1: 0.8925073130060446	Precision: 0.8900887840082686	Recall: 0.8959171937895342
4-Repeat:	F1: 0.8886497096149796	Precision: 0.894614737298303	Recall: 0.8861414606095457
5-Repeat:	F1: 0.8803837410694043	Precision: 0.8871667504919034	Recall: 0.878090856814261
6-Repeat:	F1: 0.8835813819513618	Precision: 0.8820460761136957	Recall: 0.8855664174813112
7-Repeat:	F1: 0.893397419126811	Precision: 0.8840012724906036	Recall: 0.9039677975848188
8-Repeat:	F1: 0.8838077416711775	Precision: 0.8734998107299345	Recall: 0.894767107533065
9-Repeat:	F1: 0.8725932033924519	Precision: 0.8625079632172237	Recall: 0.8838412880966072
10-Repeat:	F1: 0.8939863552602512	Precision: 0.8901664361503456	Recall: 0.8999424956871765

Avg. 10 Repeat F1-score: 0.88451	Precision: 0.88109	Recall: 0.88959
