1-Repeat:	F1: 0.8757708220233597	Precision: 0.875786715597997	Recall: 0.8763657274295572
2-Repeat:	F1: 0.8857389405838452	Precision: 0.8845200258660547	Recall: 0.887291546866015
3-Repeat:	F1: 0.8804106904759665	Precision: 0.8736304716531916	Recall: 0.8895917193789534
4-Repeat:	F1: 0.8896090829732397	Precision: 0.891512875220237	Recall: 0.8884416331224841
5-Repeat:	F1: 0.8893914923950879	Precision: 0.888400901876002	Recall: 0.8918918918918919
6-Repeat:	F1: 0.8872361107768731	Precision: 0.881240173468014	Recall: 0.894767107533065
7-Repeat:	F1: 0.8804449551821105	Precision: 0.888458167426181	Recall: 0.8740655549166187
8-Repeat:	F1: 0.876030243787982	Precision: 0.8724741463418574	Recall: 0.8803910293271996
9-Repeat:	F1: 0.8818291075307504	Precision: 0.8817082328253177	Recall: 0.882691201840138
10-Repeat:	F1: 0.8838520962854604	Precision: 0.892863360437079	Recall: 0.8757906843013226

Avg. 10 Repeat F1-score: 0.88303	Precision: 0.88306	Recall: 0.88413
