Repeat#	Precision	Recall	F1_Score
0	0.8558460539064506	0.855664174813111	0.8551767224637316
1	0.8394452368005771	0.8642898217366303	0.8507194876127493
2	0.8480095124157848	0.8717653824036803	0.8594161850765645
3	0.8537637959024724	0.8596894767107534	0.8559887052594419
4	0.8446319695711223	0.8700402530189765	0.8561644770599264
5	0.8364410236932949	0.870615296147211	0.852281584765916
6	0.8537777626162888	0.8602645198389879	0.8554423675370809
7	0.8510440018302817	0.851063829787234	0.8500537667794144
8	0.8460842146906167	0.8464634847613571	0.8455869900615476
9	0.8398418216711419	0.8757906843013226	0.8567463087444197

Avg.	0.8468885393098031	0.8625646923519265	0.8537576595360792
