1-Repeat:	F1: 0.7602857133532349	Precision: 0.7731796515025358	Recall: 0.7596319723979299
2-Repeat:	F1: 0.7557085750424342	Precision: 0.7734898266927139	Recall: 0.7567567567567568
3-Repeat:	F1: 0.7621551494076388	Precision: 0.7816647335657775	Recall: 0.7567567567567568
4-Repeat:	F1: 0.7452957676684951	Precision: 0.7739908380010407	Recall: 0.7331799884991375
5-Repeat:	F1: 0.7451480343361544	Precision: 0.7742751779043322	Recall: 0.7320299022426682
6-Repeat:	F1: 0.7615180812723333	Precision: 0.7670879438957859	Recall: 0.7665324899367453
7-Repeat:	F1: 0.7615048493605822	Precision: 0.7843559710078841	Recall: 0.7567567567567568
8-Repeat:	F1: 0.7503594296346034	Precision: 0.7633553741621363	Recall: 0.745830937320299
9-Repeat:	F1: 0.7656445195340867	Precision: 0.7847460432667531	Recall: 0.7619321449108684
10-Repeat:	F1: 0.7744239583549852	Precision: 0.7858593068020747	Recall: 0.7751581368602645

Avg. 10 Repeat F1-score: 0.7582	Precision: 0.7762	Recall: 0.75446
