1-Repeat:	F1: 0.8756866557263654	Precision: 0.8920897263970254	Recall: 0.8665899942495687
2-Repeat:	F1: 0.8756175071802152	Precision: 0.8966547028124835	Recall: 0.8654399079930994
3-Repeat:	F1: 0.8782518872247774	Precision: 0.8924936592940387	Recall: 0.8717653824036803
4-Repeat:	F1: 0.8752349700034411	Precision: 0.8934180906518375	Recall: 0.8648648648648649
5-Repeat:	F1: 0.8723109076306003	Precision: 0.889484328587102	Recall: 0.8625646923519263
6-Repeat:	F1: 0.8697115163007186	Precision: 0.8764806192416056	Recall: 0.8723404255319149
7-Repeat:	F1: 0.8712227236321719	Precision: 0.8870495885976173	Recall: 0.8637147786083956
8-Repeat:	F1: 0.8762783486247266	Precision: 0.8900604673593452	Recall: 0.8694652098907418
9-Repeat:	F1: 0.8735263065793339	Precision: 0.890437299485114	Recall: 0.8660149511213341
10-Repeat:	F1: 0.8676685676795839	Precision: 0.8848764713480135	Recall: 0.8573893041978148

Avg. 10 Repeat F1-score: 0.87355	Precision: 0.8893	Recall: 0.86601
