1-Repeat:	F1: 0.7453210321432827	Precision: 0.7671706004366166	Recall: 0.7521564117308798
2-Repeat:	F1: 0.7291390418319988	Precision: 0.7507455238517603	Recall: 0.7354801610120759
3-Repeat:	F1: 0.7253139514118782	Precision: 0.7854984068488918	Recall: 0.7228292121909143
4-Repeat:	F1: 0.74410953339838	Precision: 0.7565561242745162	Recall: 0.7423806785508913
5-Repeat:	F1: 0.7363358069023218	Precision: 0.7763071242808287	Recall: 0.7469810235767682
6-Repeat:	F1: 0.7490575167701474	Precision: 0.7546078065482367	Recall: 0.7567567567567568
7-Repeat:	F1: 0.7603772928537736	Precision: 0.7544832040133964	Recall: 0.7763082231167338
8-Repeat:	F1: 0.7507963335028672	Precision: 0.7550343536621259	Recall: 0.7613571017826337
9-Repeat:	F1: 0.7547264686952598	Precision: 0.7716684549437594	Recall: 0.7694077055779184
10-Repeat:	F1: 0.7425851418001365	Precision: 0.781671001558199	Recall: 0.7498562392179413

Avg. 10 Repeat F1-score: 0.74378	Precision: 0.76537	Recall: 0.75135
