1-Repeat:	F1: 0.8068528928315437	Precision: 0.8234820211709883	Recall: 0.79700977573318
2-Repeat:	F1: 0.7643306568736068	Precision: 0.7267852366409883	Recall: 0.8246118458884416
3-Repeat:	F1: 0.8101131570808895	Precision: 0.8500639650740819	Recall: 0.7918343875790684
4-Repeat:	F1: 0.7892655786514836	Precision: 0.7913599500577505	Recall: 0.7958596894767107
5-Repeat:	F1: 0.7939540797528689	Precision: 0.8513736477783748	Recall: 0.7694077055779184
6-Repeat:	F1: 0.8148973454477421	Precision: 0.8218382514662693	Recall: 0.8332374928119609
7-Repeat:	F1: 0.7960678394541422	Precision: 0.8295736308534454	Recall: 0.7901092581943646
8-Repeat:	F1: 0.8001635546109499	Precision: 0.789072323308971	Recall: 0.8188614146060954
9-Repeat:	F1: 0.794199639603726	Precision: 0.82132325156751	Recall: 0.8079355951696378
10-Repeat:	F1: 0.8093576552513562	Precision: 0.8403595432835426	Recall: 0.8079355951696378

Avg. 10 Repeat F1-score: 0.79792	Precision: 0.81452	Recall: 0.80368
