Repeat	Precision	Recall	F1_Score
0	0.7994343367623044	0.8203208556149733	0.8086387535314867
1	0.7924282859215946	0.8042780748663102	0.7977628899399356
2	0.7955774893983087	0.8224598930481284	0.8083956897366935
3	0.7986928129409556	0.8160427807486631	0.8069382320877341
4	0.787472759960445	0.8021390374331551	0.7943245339669428
5	0.792494358664304	0.8032085561497326	0.7972276165649891
6	0.7747914932887289	0.7914438502673797	0.7820813399813414
7	0.7877468411888469	0.8106951871657754	0.7987791879624428
8	0.7915293792830237	0.8213903743315508	0.8058364670657833
9	0.7797602622204735	0.8	0.7893861563700484

Avg.	0.7899928019628984	0.8091978609625669	0.7989370867207398
