1-Repeat:	F1: 0.6733540990840141	Precision: 0.6350770168074937	Recall: 0.7181913774973712
2-Repeat:	F1: 0.6675653624809312	Precision: 0.6583206678757337	Recall: 0.6782334384858044
3-Repeat:	F1: 0.6644961511109605	Precision: 0.625693949561485	Recall: 0.7108307045215563
4-Repeat:	F1: 0.6772804613890738	Precision: 0.6498283403919383	Recall: 0.7097791798107256
5-Repeat:	F1: 0.6663231417769271	Precision: 0.6410309131147782	Recall: 0.6950578338590957
6-Repeat:	F1: 0.6520531270484824	Precision: 0.6374819421736126	Recall: 0.668769716088328
7-Repeat:	F1: 0.6584788234217677	Precision: 0.62468751937478	Recall: 0.7003154574132492
8-Repeat:	F1: 0.6584262113044959	Precision: 0.6215554358131595	Recall: 0.7013669821240799
9-Repeat:	F1: 0.6724133725748855	Precision: 0.6643045928837205	Recall: 0.6845425867507886
10-Repeat:	F1: 0.6761260709523641	Precision: 0.655704713379397	Recall: 0.7013669821240799

Avg. 10 Repeat F1-score: 0.66665	Precision: 0.64137	Recall: 0.69685
