1-Repeat:	F1: 0.6741397462905286	Precision: 0.6720025293758932	Recall: 0.6782334384858044
2-Repeat:	F1: 0.6903526306407289	Precision: 0.6810775422938253	Recall: 0.7034700315457413
3-Repeat:	F1: 0.7009290926869546	Precision: 0.6920919970575958	Recall: 0.7129337539432177
4-Repeat:	F1: 0.6997371585612988	Precision: 0.6750629614987768	Recall: 0.7308096740273397
5-Repeat:	F1: 0.7035410955691133	Precision: 0.6988057054790511	Recall: 0.711882229232387
6-Repeat:	F1: 0.6966292999145814	Precision: 0.6653799888827576	Recall: 0.7318611987381703
7-Repeat:	F1: 0.7091507038192248	Precision: 0.7175235891286713	Recall: 0.704521556256572
8-Repeat:	F1: 0.699614630941341	Precision: 0.7034551767186942	Recall: 0.6971608832807571
9-Repeat:	F1: 0.6957579714558287	Precision: 0.702411068008915	Recall: 0.6908517350157729
10-Repeat:	F1: 0.6947767839162311	Precision: 0.6806893567717226	Recall: 0.7108307045215563

Avg. 10 Repeat F1-score: 0.69646	Precision: 0.68885	Recall: 0.70726
