1-Repeat:	F1: 0.6574319820343577	Precision: 0.639023547402566	Recall: 0.6792849631966351
2-Repeat:	F1: 0.649633983026144	Precision: 0.636411143285157	Recall: 0.6645636172450052
3-Repeat:	F1: 0.6296820188270001	Precision: 0.6422083345196292	Recall: 0.6203995793901157
4-Repeat:	F1: 0.644613408166357	Precision: 0.6200536974669492	Recall: 0.6750788643533123
5-Repeat:	F1: 0.6493247651583129	Precision: 0.6365553520040147	Recall: 0.6656151419558359
6-Repeat:	F1: 0.6696087908373186	Precision: 0.6639466296749826	Recall: 0.6771819137749737
7-Repeat:	F1: 0.6380728742579821	Precision: 0.6128877288878875	Recall: 0.668769716088328
8-Repeat:	F1: 0.6530457459757886	Precision: 0.6518562606208527	Recall: 0.655099894847529
9-Repeat:	F1: 0.6506117351550444	Precision: 0.6209368520191788	Recall: 0.6845425867507886
10-Repeat:	F1: 0.6453071760412321	Precision: 0.600291340194619	Recall: 0.7013669821240799

Avg. 10 Repeat F1-score: 0.64873	Precision: 0.63242	Recall: 0.66919
