1-Repeat:	F1: 0.6621822565011839	Precision: 0.6739264876402189	Recall: 0.6540483701366983
2-Repeat:	F1: 0.6709954759599043	Precision: 0.6626900122090594	Recall: 0.6813880126182965
3-Repeat:	F1: 0.68891834417237	Precision: 0.6796064381684278	Recall: 0.7034700315457413
4-Repeat:	F1: 0.6661220927488358	Precision: 0.6672445694112621	Recall: 0.6666666666666666
5-Repeat:	F1: 0.6987020446068383	Precision: 0.6970477136396175	Recall: 0.7034700315457413
6-Repeat:	F1: 0.6812725064306528	Precision: 0.68486154528395	Recall: 0.6792849631966351
7-Repeat:	F1: 0.6812292491086993	Precision: 0.6779621062517148	Recall: 0.6855941114616193
8-Repeat:	F1: 0.6451746961802547	Precision: 0.6553381981311417	Recall: 0.6435331230283912
9-Repeat:	F1: 0.6690529535479449	Precision: 0.649848318798701	Recall: 0.6919032597266036
10-Repeat:	F1: 0.696793869955446	Precision: 0.6902898143083818	Recall: 0.7066246056782335

Avg. 10 Repeat F1-score: 0.67604	Precision: 0.67388	Recall: 0.6816
