Repeat#	Precision	Recall	F1_Score
0	0.5465021735520085	0.5983175604626709	0.5696817096901674
1	0.5373664000661539	0.5751840168243953	0.5550999350794187
2	0.5085896711193725	0.5720294426919033	0.5360572406018971
3	0.5301552023773963	0.5425867507886435	0.5355899814117226
4	0.5260486029110621	0.5741324921135647	0.5485258502850306
5	0.5108296762082251	0.5962145110410094	0.5486974379209367
6	0.5248325867717056	0.5404837013669821	0.5309181854811501
7	0.5220330218405014	0.5972660357518401	0.5565289590831773
8	0.5323012912448712	0.6004206098843323	0.5635539821077634
9	0.5176465969907413	0.5899053627760252	0.5499791838167659

Avg.	0.5256305223082038	0.5786540483701367	0.5494632465478031
