1-Repeat:	F1: 0.5205153588755863	Precision: 0.5784931026412152	Recall: 0.47423764458464773
2-Repeat:	F1: 0.5430054524983806	Precision: 0.5574762599713938	Recall: 0.5310199789695058
3-Repeat:	F1: 0.5026497772058562	Precision: 0.5643992364241557	Recall: 0.45425867507886436
4-Repeat:	F1: 0.5509340999895445	Precision: 0.5650206869976998	Recall: 0.5404837013669821
5-Repeat:	F1: 0.5372556119398371	Precision: 0.5476747278969488	Recall: 0.5278654048370137
6-Repeat:	F1: 0.532535851448419	Precision: 0.5567684307451907	Recall: 0.5110410094637224
7-Repeat:	F1: 0.42382303210451194	Precision: 0.614139871050805	Recall: 0.32597266035751843
8-Repeat:	F1: 0.5308960109115697	Precision: 0.5634649103204437	Recall: 0.5026288117770767
9-Repeat:	F1: 0.513357534955536	Precision: 0.5868588061566397	Recall: 0.45846477392218715
10-Repeat:	F1: 0.5612781008205335	Precision: 0.549054899891602	Recall: 0.5751840168243953

Avg. 10 Repeat F1-score: 0.52163	Precision: 0.56834	Recall: 0.49012
