1-Repeat:	F1: 0.5121740650031527	Precision: 0.6655841248727623	Recall: 0.42691903259726605
2-Repeat:	F1: 0.5255329913339609	Precision: 0.5936596062565721	Recall: 0.4815983175604627
3-Repeat:	F1: 0.5609197581429616	Precision: 0.6574242746466302	Recall: 0.4921135646687697
4-Repeat:	F1: 0.5460670131971082	Precision: 0.6210373905822432	Recall: 0.4879074658254469
5-Repeat:	F1: 0.5635112727849919	Precision: 0.6723388209246143	Recall: 0.4889589905362776
6-Repeat:	F1: 0.5134608270868519	Precision: 0.6354841282206181	Recall: 0.4363827549947424
7-Repeat:	F1: 0.5293122468982749	Precision: 0.6799081046585855	Recall: 0.4405888538380652
8-Repeat:	F1: 0.5503589699969569	Precision: 0.6691851318737945	Recall: 0.47108307045215564
9-Repeat:	F1: 0.545518108278003	Precision: 0.639408248823535	Recall: 0.4815983175604627
10-Repeat:	F1: 0.5558091144873868	Precision: 0.6748170442031287	Recall: 0.4773922187171398

Avg. 10 Repeat F1-score: 0.54027	Precision: 0.65088	Recall: 0.46845
