1-Repeat:	F1: 0.42259795107826925	Precision: 0.45101028137970633	Recall: 0.4037854889589905
2-Repeat:	F1: 0.40931839893547567	Precision: 0.4470621221247826	Recall: 0.3911671924290221
3-Repeat:	F1: 0.39996422340592064	Precision: 0.434644052756512	Recall: 0.3785488958990536
4-Repeat:	F1: 0.3513373579862067	Precision: 0.4215680555435317	Recall: 0.30914826498422715
5-Repeat:	F1: 0.4073756921969221	Precision: 0.41554019955260163	Recall: 0.40799158780231337
6-Repeat:	F1: 0.45952349563199313	Precision: 0.46223230394028053	Recall: 0.47003154574132494
7-Repeat:	F1: 0.41180955962120336	Precision: 0.4439934570885789	Recall: 0.3943217665615142
8-Repeat:	F1: 0.359703241890633	Precision: 0.3992859277532994	Recall: 0.33648790746582546
9-Repeat:	F1: 0.4488325449692733	Precision: 0.4531201849074483	Recall: 0.4479495268138801
10-Repeat:	F1: 0.38723934524382636	Precision: 0.41959334529239356	Recall: 0.37013669821240797

Avg. 10 Repeat F1-score: 0.40577	Precision: 0.4348	Recall: 0.39096
