1-Repeat:	F1: 0.2710390699137572	Precision: 0.30487417100397013	Recall: 0.26813880126182965
2-Repeat:	F1: 0.28147146440975784	Precision: 0.3086354231816755	Recall: 0.27024185068349105
3-Repeat:	F1: 0.24693640508162779	Precision: 0.3285021255115384	Recall: 0.2092534174553102
4-Repeat:	F1: 0.2758973458051058	Precision: 0.3456735462377567	Recall: 0.27129337539432175
5-Repeat:	F1: 0.19997726773752011	Precision: 0.40908523629844284	Recall: 0.13354363827549948
6-Repeat:	F1: 0.23921569728552802	Precision: 0.4173034322023031	Recall: 0.17665615141955837
7-Repeat:	F1: 0.23937032209383347	Precision: 0.41688774764112013	Recall: 0.17665615141955837
8-Repeat:	F1: 0.20514723868220688	Precision: 0.2757872086226141	Recall: 0.17560462670872765
9-Repeat:	F1: 0.27571476815361445	Precision: 0.3657094572509708	Recall: 0.22397476340694006
10-Repeat:	F1: 0.2407112387872317	Precision: 0.3728341861926564	Recall: 0.19978969505783387

Avg. 10 Repeat F1-score: 0.24755	Precision: 0.35453	Recall: 0.21052
