Repeat	Precision	Recall	F1_Score
0	0.9565336153465255	0.9613095238095238	0.9589104915837761
1	0.9604378841760816	0.9595238095238096	0.9599727575641552
2	0.956778734283982	0.962202380952381	0.9594782970026989
3	0.9514316265920868	0.9619047619047619	0.9565980249810786
4	0.9553869988772554	0.9583333333333334	0.9568312096666992
5	0.9497803236111442	0.955654761904762	0.9526745798711436
6	0.9552943848842463	0.9589285714285715	0.9571040799189114
7	0.9515644335339457	0.9627976190476191	0.9571303563326657
8	0.9568495688481935	0.9571428571428572	0.9569895710983428
9	0.9593229931119067	0.9616071428571429	0.9604636901180338

Avg.	0.9553380563265368	0.9599404761904762	0.9576153058137505
