1-Repeat:	F1: 0.9036437942153623	Precision: 0.8981585814708444	Recall: 0.9097119097119097
2-Repeat:	F1: 0.8952774343468534	Precision: 0.893823816914001	Recall: 0.8972378972378973
3-Repeat:	F1: 0.9032490756067588	Precision: 0.9002972793026581	Recall: 0.9064449064449065
4-Repeat:	F1: 0.8969267584412086	Precision: 0.8973359642554923	Recall: 0.8978318978318979
5-Repeat:	F1: 0.8921082377993524	Precision: 0.8927727085527065	Recall: 0.8921888921888922
6-Repeat:	F1: 0.8979478398067889	Precision: 0.8940937098445498	Recall: 0.901989901989902
7-Repeat:	F1: 0.8956281147759622	Precision: 0.8863578413652615	Recall: 0.9055539055539056
8-Repeat:	F1: 0.8986931121018203	Precision: 0.8980453386574524	Recall: 0.8996138996138996
9-Repeat:	F1: 0.8958269926053435	Precision: 0.8939935218653994	Recall: 0.8987228987228987
10-Repeat:	F1: 0.8885666447357353	Precision: 0.8819673967506271	Recall: 0.8957528957528957

Avg. 10 Repeat F1-score: 0.89679	Precision: 0.89368	Recall: 0.9005
