1-Repeat:	F1: 0.9162680792257858	Precision: 0.9241870284328483	Recall: 0.9088209088209088
2-Repeat:	F1: 0.9163245847554365	Precision: 0.9227468437893578	Recall: 0.91000891000891
3-Repeat:	F1: 0.9204593219411296	Precision: 0.930011325593655	Recall: 0.9111969111969112
4-Repeat:	F1: 0.9154388363241516	Precision: 0.9173898318911798	Recall: 0.9135729135729136
5-Repeat:	F1: 0.9170547103205923	Precision: 0.9259438442354195	Recall: 0.9085239085239085
6-Repeat:	F1: 0.921303560414056	Precision: 0.9318754597843577	Recall: 0.9111969111969112
7-Repeat:	F1: 0.9164913204956406	Precision: 0.9263816463014614	Recall: 0.907038907038907
8-Repeat:	F1: 0.9135727950634911	Precision: 0.9193657336900491	Recall: 0.9079299079299079
9-Repeat:	F1: 0.9095737191218134	Precision: 0.9234226106809496	Recall: 0.8966438966438967
10-Repeat:	F1: 0.9195919319932847	Precision: 0.9342043258455311	Recall: 0.9058509058509059

Avg. 10 Repeat F1-score: 0.91661	Precision: 0.92555	Recall: 0.90808
