1-Repeat:	F1: 0.9236408547257949	Precision: 0.9219138207576638	Recall: 0.9254529254529255
2-Repeat:	F1: 0.9152487016008263	Precision: 0.9295420838079168	Recall: 0.9013959013959014
3-Repeat:	F1: 0.9239929796395322	Precision: 0.9265314184879069	Recall: 0.9215919215919216
4-Repeat:	F1: 0.9247448262485197	Precision: 0.9299979282616435	Recall: 0.9198099198099198
5-Repeat:	F1: 0.9222737914827456	Precision: 0.9307047057782819	Recall: 0.9141669141669142
6-Repeat:	F1: 0.9242695409622823	Precision: 0.9280118212405268	Recall: 0.9207009207009207
7-Repeat:	F1: 0.9153730034723327	Precision: 0.9240058603371262	Recall: 0.907038907038907
8-Repeat:	F1: 0.9188236360042884	Precision: 0.9297895481328854	Recall: 0.9082269082269082
9-Repeat:	F1: 0.9243886092297766	Precision: 0.9355551291458936	Recall: 0.9135729135729136
10-Repeat:	F1: 0.9190327006537227	Precision: 0.9278225677033919	Recall: 0.9106029106029107

Avg. 10 Repeat F1-score: 0.92118	Precision: 0.92839	Recall: 0.91426
