Repeat#	Precision	Recall	F1_Score
0	0.8283069833283043	0.8464508464508465	0.8364645196367566
1	0.8225044013760036	0.8491238491238491	0.8352297371053903
2	0.8212894482253862	0.8458568458568458	0.8328572326354297
3	0.8303784334798883	0.8553608553608554	0.8419442953919616
4	0.829141408547401	0.8675378675378675	0.8469710158123677
5	0.8330835151652712	0.8565488565488566	0.8442415055222543
6	0.8322910861085114	0.8491238491238491	0.8391741173584707
7	0.8313988821109322	0.8535788535788535	0.8418985397420389
8	0.8227194019359918	0.8467478467478468	0.8339999772999267
9	0.8169997644729525	0.8431838431838432	0.8291546101492507

Avg.	0.8268113324750643	0.8513513513513514	0.8381935550653846
