1-Repeat:	F1: 0.7857206467990681	Precision: 0.8004799731502036	Recall: 0.7718360071301248
2-Repeat:	F1: 0.7782104956415518	Precision: 0.7937824710767389	Recall: 0.7650029708853239
3-Repeat:	F1: 0.7769542928061723	Precision: 0.8185718919308775	Recall: 0.743612596553773
4-Repeat:	F1: 0.7910073628967826	Precision: 0.802351383201076	Recall: 0.780154486036839
5-Repeat:	F1: 0.7871615993031985	Precision: 0.8117650371962398	Recall: 0.7670825906120023
6-Repeat:	F1: 0.7854195186136473	Precision: 0.796866925279019	Recall: 0.7768865121806299
7-Repeat:	F1: 0.7777229698911035	Precision: 0.8195154080182045	Recall: 0.7448009506833037
8-Repeat:	F1: 0.7921816267954399	Precision: 0.7992520412117798	Recall: 0.7857991681521094
9-Repeat:	F1: 0.7883524877055456	Precision: 0.7972537962907781	Recall: 0.7798573975044564
10-Repeat:	F1: 0.7940806485324826	Precision: 0.7955322086105274	Recall: 0.7932263814616756

Avg. 10 Repeat F1-score: 0.78568	Precision: 0.80354	Recall: 0.77083
