1-Repeat:	F1: 0.8660298796915673	Precision: 0.8853012605197228	Recall: 0.8487819370172311
2-Repeat:	F1: 0.8619786842867883	Precision: 0.8969613757396784	Recall: 0.8297682709447415
3-Repeat:	F1: 0.8658550710577089	Precision: 0.8845725632156219	Recall: 0.8484848484848485
4-Repeat:	F1: 0.8652387266621534	Precision: 0.8902493379295775	Recall: 0.8416518122400475
5-Repeat:	F1: 0.8674118063149213	Precision: 0.8920959987138882	Recall: 0.8443256090314913
6-Repeat:	F1: 0.8637336736777278	Precision: 0.8884140301403215	Recall: 0.8404634581105169
7-Repeat:	F1: 0.8670413846320727	Precision: 0.8746019983751322	Recall: 0.8600713012477719
8-Repeat:	F1: 0.8554679068356628	Precision: 0.8924053973722778	Recall: 0.8232323232323232
9-Repeat:	F1: 0.8630847073756456	Precision: 0.8781270276357361	Recall: 0.8496732026143791
10-Repeat:	F1: 0.8615402753319659	Precision: 0.890375796357283	Recall: 0.8348187759952466

Avg. 10 Repeat F1-score: 0.86374	Precision: 0.88731	Recall: 0.84213
