1-Repeat:	F1: 0.599825839689793	Precision: 0.6140289380586716	Recall: 0.5900178253119429
2-Repeat:	F1: 0.5979843102270651	Precision: 0.6138750211367527	Recall: 0.5947712418300654
3-Repeat:	F1: 0.5894179732620319	Precision: 0.632044001409982	Recall: 0.55941770647653
4-Repeat:	F1: 0.59956899542685	Precision: 0.6167030337356205	Recall: 0.589126559714795
5-Repeat:	F1: 0.5974002697595789	Precision: 0.616744565362596	Recall: 0.5867498514557338
6-Repeat:	F1: 0.6106394086168301	Precision: 0.6174853467184047	Recall: 0.6066547831253714
7-Repeat:	F1: 0.5855847559303843	Precision: 0.6094977639464726	Recall: 0.5701128936423054
8-Repeat:	F1: 0.584550141203138	Precision: 0.6163662700229009	Recall: 0.565359477124183
9-Repeat:	F1: 0.595393068466407	Precision: 0.6056454060657906	Recall: 0.5938799762329174
10-Repeat:	F1: 0.5964662331594648	Precision: 0.6394331575441581	Recall: 0.5614973262032086

Avg. 10 Repeat F1-score: 0.59568	Precision: 0.61818	Recall: 0.58176
