Repeat	Precision	Recall	F1_Score
0	0.7873338829557273	0.8040540540540541	0.794915612628678
1	0.7842872693521896	0.8192567567567568	0.7994888385301808
2	0.7919541925298504	0.8158783783783784	0.8033357367672498
3	0.7836645179608566	0.8277027027027027	0.8041897136458048
4	0.7528540481593916	0.7905405405405406	0.7702215781643315
5	0.7563448865189542	0.7989864864864865	0.7764135497315482
6	0.773930410320694	0.8057432432432432	0.788518763949413
7	0.7824851856875454	0.8361486486486487	0.8074146507929667
8	0.7853327254150586	0.8040540540540541	0.7935124549935317
9	0.7594827981887511	0.7922297297297297	0.774950932696802

Avg.	0.7757669917089018	0.8094594594594595	0.7912961831900506
