1-Repeat:	F1: 0.6327142642095496	Precision: 0.6414925606762996	Recall: 0.6317567567567568
2-Repeat:	F1: 0.6021442441171192	Precision: 0.6013445489748653	Recall: 0.6114864864864865
3-Repeat:	F1: 0.649764434325511	Precision: 0.642014569440777	Recall: 0.6739864864864865
4-Repeat:	F1: 0.6344289204981403	Precision: 0.628682927551822	Recall: 0.6537162162162162
5-Repeat:	F1: 0.6411896926006897	Precision: 0.629685254762571	Recall: 0.6706081081081081
6-Repeat:	F1: 0.6333309523628075	Precision: 0.6273855494623117	Recall: 0.6418918918918919
7-Repeat:	F1: 0.6029551405817075	Precision: 0.5992622964814768	Recall: 0.6199324324324325
8-Repeat:	F1: 0.6366855332526696	Precision: 0.6361804034217828	Recall: 0.6418918918918919
9-Repeat:	F1: 0.6244654320372195	Precision: 0.6163417414988606	Recall: 0.6351351351351351
10-Repeat:	F1: 0.6256603183462448	Precision: 0.619113248940883	Recall: 0.6385135135135135

Avg. 10 Repeat F1-score: 0.62833	Precision: 0.62415	Recall: 0.64189
