1-Repeat:	F1: 0.6595150385553017	Precision: 0.6610645934699735	Recall: 0.660472972972973
2-Repeat:	F1: 0.6400891008632053	Precision: 0.6575888700028629	Recall: 0.6300675675675675
3-Repeat:	F1: 0.6650530918242185	Precision: 0.685302046631059	Recall: 0.6537162162162162
4-Repeat:	F1: 0.6403459422970849	Precision: 0.6658848583031887	Recall: 0.6283783783783784
5-Repeat:	F1: 0.644476657675772	Precision: 0.6580004552966684	Recall: 0.6418918918918919
6-Repeat:	F1: 0.6610421695934845	Precision: 0.7101447504060793	Recall: 0.6283783783783784
7-Repeat:	F1: 0.6195644139777802	Precision: 0.6348013239237554	Recall: 0.6114864864864865
8-Repeat:	F1: 0.6379505483448332	Precision: 0.6814738815435643	Recall: 0.6013513513513513
9-Repeat:	F1: 0.6689431689339663	Precision: 0.7096281184288544	Recall: 0.6452702702702703
10-Repeat:	F1: 0.6575073047845326	Precision: 0.6798844255797899	Recall: 0.6469594594594594

Avg. 10 Repeat F1-score: 0.64945	Precision: 0.67438	Recall: 0.6348
