1-Repeat:	F1: 0.6589912671937546	Precision: 0.6646234523022965	Recall: 0.6638513513513513
2-Repeat:	F1: 0.663473535824095	Precision: 0.6689023227538244	Recall: 0.6773648648648649
3-Repeat:	F1: 0.6492110861251578	Precision: 0.6404883704080757	Recall: 0.660472972972973
4-Repeat:	F1: 0.6409926341291314	Precision: 0.6271572201964493	Recall: 0.6587837837837838
5-Repeat:	F1: 0.6525009438971333	Precision: 0.6646700729576644	Recall: 0.6452702702702703
6-Repeat:	F1: 0.6589859228164926	Precision: 0.6840560491159864	Recall: 0.6503378378378378
7-Repeat:	F1: 0.6433813890592471	Precision: 0.6691173996500288	Recall: 0.625
8-Repeat:	F1: 0.6404075129429134	Precision: 0.6717692292563797	Recall: 0.6148648648648649
9-Repeat:	F1: 0.6439677096203081	Precision: 0.663677328411961	Recall: 0.6300675675675675
10-Repeat:	F1: 0.6679073583180369	Precision: 0.6714073708702615	Recall: 0.6756756756756757

Avg. 10 Repeat F1-score: 0.65198	Precision: 0.66259	Recall: 0.65017
