Repeat#	Precision	Recall	F1_Score
0	0.5429289607067386	0.5540540540540541	0.5429307510797522
1	0.5160132736094102	0.5777027027027027	0.5402474621894124
2	0.5067696949090303	0.5641891891891891	0.5326326199669359
3	0.49756442774979653	0.5641891891891891	0.5250847893868489
4	0.5257082975832976	0.5388513513513513	0.5252710942700983
5	0.5151765367776324	0.535472972972973	0.5200011023641855
6	0.5180175641382536	0.5574324324324325	0.5344803360921239
7	0.5237127286276474	0.5827702702702703	0.5502941172589207
8	0.49637034113392897	0.5709459459459459	0.5306973268366729
9	0.5043206133992117	0.5760135135135135	0.5348857921582301

Avg.	0.5146582438634948	0.5621621621621621	0.5336525391603181
