1-Repeat:	F1: 0.4687922084902421	Precision: 0.5868669963797273	Recall: 0.40371621621621623
2-Repeat:	F1: 0.4176254594250858	Precision: 0.5943305227013093	Recall: 0.3260135135135135
3-Repeat:	F1: 0.4351878382351079	Precision: 0.5821178613668261	Recall: 0.35135135135135137
4-Repeat:	F1: 0.46884525916933006	Precision: 0.5468318757859378	Recall: 0.42567567567567566
5-Repeat:	F1: 0.457946635983915	Precision: 0.5903954628810951	Recall: 0.38175675675675674
6-Repeat:	F1: 0.4495179733635781	Precision: 0.5643764898707572	Recall: 0.38006756756756754
7-Repeat:	F1: 0.4195921057480517	Precision: 0.5682917245417245	Recall: 0.33783783783783783
8-Repeat:	F1: 0.46700595406635104	Precision: 0.5389759649417529	Recall: 0.43074324324324326
9-Repeat:	F1: 0.43157433785407057	Precision: 0.5975133710397147	Recall: 0.34121621621621623
10-Repeat:	F1: 0.434039001642722	Precision: 0.6108281310761249	Recall: 0.34121621621621623

Avg. 10 Repeat F1-score: 0.44501	Precision: 0.57805	Recall: 0.37196
