1-Repeat:	F1: 0.6134554971872103	Precision: 0.7602888310621905	Recall: 0.5320945945945946
2-Repeat:	F1: 0.5931449782824648	Precision: 0.7550784665049066	Recall: 0.5
3-Repeat:	F1: 0.5987826953010887	Precision: 0.7480111998814839	Recall: 0.5168918918918919
4-Repeat:	F1: 0.5817938474188474	Precision: 0.7148619212576298	Recall: 0.5067567567567568
5-Repeat:	F1: 0.5955905625680561	Precision: 0.7631806258800939	Recall: 0.5
6-Repeat:	F1: 0.6177365310354345	Precision: 0.7309919508828094	Recall: 0.5540540540540541
7-Repeat:	F1: 0.6083549751789958	Precision: 0.7161176318566002	Recall: 0.543918918918919
8-Repeat:	F1: 0.5916408675829242	Precision: 0.7464617067245353	Recall: 0.5
9-Repeat:	F1: 0.5908347302230865	Precision: 0.7272735708697071	Recall: 0.5118243243243243
10-Repeat:	F1: 0.5948692948143706	Precision: 0.7600842459607315	Recall: 0.4983108108108108

Avg. 10 Repeat F1-score: 0.59862	Precision: 0.74224	Recall: 0.51639
