1-Repeat:	F1: 0.4253082533200318	Precision: 0.49544006421685544	Recall: 0.39864864864864863
2-Repeat:	F1: 0.40723819998571487	Precision: 0.47401628056056305	Recall: 0.3597972972972973
3-Repeat:	F1: 0.36316335470077893	Precision: 0.4218422461926676	Recall: 0.33783783783783783
4-Repeat:	F1: 0.37695300545617627	Precision: 0.44070396698603204	Recall: 0.3733108108108108
5-Repeat:	F1: 0.416669228645849	Precision: 0.4568255860375426	Recall: 0.38682432432432434
6-Repeat:	F1: 0.42478256482988513	Precision: 0.5134847422884985	Recall: 0.3918918918918919
7-Repeat:	F1: 0.4117589873936896	Precision: 0.4597097166151003	Recall: 0.38513513513513514
8-Repeat:	F1: 0.411448509708252	Precision: 0.4655964780930417	Recall: 0.3766891891891892
9-Repeat:	F1: 0.3706437126960266	Precision: 0.5315966532143003	Recall: 0.30405405405405406
10-Repeat:	F1: 0.3995883698151043	Precision: 0.4567047837581576	Recall: 0.3597972972972973

Avg. 10 Repeat F1-score: 0.40076	Precision: 0.47159	Recall: 0.3674
