1-Repeat:	F1: 0.32231847312824224	Precision: 0.5494257288366258	Recall: 0.24324324324324326
2-Repeat:	F1: 0.3416839586571312	Precision: 0.3755633350974843	Recall: 0.3277027027027027
3-Repeat:	F1: 0.3269991537669075	Precision: 0.43618189472028057	Recall: 0.2685810810810811
4-Repeat:	F1: 0.28839554640592713	Precision: 0.4894449337686401	Recall: 0.21283783783783783
5-Repeat:	F1: 0.29175971339545276	Precision: 0.40898409058135843	Recall: 0.2702702702702703
6-Repeat:	F1: 0.31273337152460706	Precision: 0.4420881324362336	Recall: 0.30236486486486486
7-Repeat:	F1: 0.1563182733695423	Precision: 0.35768486788223636	Recall: 0.10304054054054054
8-Repeat:	F1: 0.323790335854589	Precision: 0.38246468995325705	Recall: 0.28209459459459457
9-Repeat:	F1: 0.37178670233536615	Precision: 0.45127881382453117	Recall: 0.3310810810810811
10-Repeat:	F1: 0.326681499931654	Precision: 0.5598121848288545	Recall: 0.2483108108108108

Avg. 10 Repeat F1-score: 0.30625	Precision: 0.44529	Recall: 0.25895
