Repeat	Precision	Recall	F1_Score
0	0.9107135656452725	0.9172101588275915	0.9138703987482707
1	0.9130707268423398	0.9220440420471112	0.9174935192699818
2	0.9134806163315152	0.9211233023862503	0.9172531613928585
3	0.9142795107059277	0.9225811401826134	0.918392234625673
4	0.9124247332984377	0.9209698457761069	0.9166490384827972
5	0.9118622180107516	0.9228113250978286	0.9172853651177564
6	0.9088038031207096	0.9192050947594568	0.9139214085682706
7	0.9149868330084548	0.9225044118775416	0.9186965351291411
8	0.9101285670718119	0.9209698457761069	0.9154579227361943
9	0.9096929870600773	0.9205094759456763	0.9150087438174489

Avg.	0.9119443561095298	0.9209928642676284	0.9164028327888392
