1-Repeat:	F1: 0.8401095178025483	Precision: 0.8196763845245291	Recall: 0.861658865955651
2-Repeat:	F1: 0.8369987640411692	Precision: 0.8228130330346465	Recall: 0.8520678278216834
3-Repeat:	F1: 0.8319283290181725	Precision: 0.8121743421241505	Recall: 0.8526816542622574
4-Repeat:	F1: 0.8410404404480891	Precision: 0.8262454268035532	Recall: 0.8565180695158444
5-Repeat:	F1: 0.8325711322947744	Precision: 0.8120721666356384	Recall: 0.8542162203636922
6-Repeat:	F1: 0.8398049193901987	Precision: 0.819483677823024	Recall: 0.8612752244302924
7-Repeat:	F1: 0.8336153499921054	Precision: 0.8118301463189492	Recall: 0.8574388091767053
8-Repeat:	F1: 0.8418553634960474	Precision: 0.8195339005604219	Recall: 0.8657254661244533
9-Repeat:	F1: 0.8354929324097803	Precision: 0.817196463672268	Recall: 0.8547533184991943
10-Repeat:	F1: 0.8302539606698702	Precision: 0.8149608947805761	Recall: 0.8465433898565181

Avg. 10 Repeat F1-score: 0.83637	Precision: 0.8176	Recall: 0.85629
