1-Repeat:	F1: 0.872008639306473	Precision: 0.8739914190172573	Recall: 0.8700989795135425
2-Repeat:	F1: 0.8722328789136119	Precision: 0.8766033934902918	Recall: 0.8684109568019642
3-Repeat:	F1: 0.8731710163278966	Precision: 0.8745903827108462	Recall: 0.872017187140336
4-Repeat:	F1: 0.8821646714081096	Precision: 0.8838466355278422	Recall: 0.8807642139185146
5-Repeat:	F1: 0.8783294893214331	Precision: 0.8804618282399352	Recall: 0.8763139722243536
6-Repeat:	F1: 0.8814309266114859	Precision: 0.88330959983487	Recall: 0.8797667459525819
7-Repeat:	F1: 0.8698201084957067	Precision: 0.8688718676697483	Recall: 0.8708662625642599
8-Repeat:	F1: 0.8768208366884542	Precision: 0.8798319480700361	Recall: 0.8739353947671296
9-Repeat:	F1: 0.8764524755380028	Precision: 0.882057980883331	Recall: 0.8713266323946904
10-Repeat:	F1: 0.8730262549511515	Precision: 0.8719597094225943	Recall: 0.8743957645975601

Avg. 10 Repeat F1-score: 0.87555	Precision: 0.87755	Recall: 0.87379
