1-Repeat:	F1: 0.8424725619586801	Precision: 0.8241317358661367	Recall: 0.8624261490063685
2-Repeat:	F1: 0.8345113495496281	Precision: 0.8167844498295105	Recall: 0.8547533184991943
3-Repeat:	F1: 0.8382919672114528	Precision: 0.8124433463919924	Recall: 0.866109107649812
4-Repeat:	F1: 0.8399563035102882	Precision: 0.8216980178612293	Recall: 0.8592802884984271
5-Repeat:	F1: 0.8473301640057286	Precision: 0.8313596023753985	Recall: 0.864037443412875
6-Repeat:	F1: 0.842685750236881	Precision: 0.8229202160717356	Recall: 0.863730530192588
7-Repeat:	F1: 0.8407864071373641	Precision: 0.8201533311777772	Recall: 0.8631934320570859
8-Repeat:	F1: 0.8432498791397903	Precision: 0.821323740242739	Recall: 0.866416020870099
9-Repeat:	F1: 0.8412142241983941	Precision: 0.8233369164441717	Recall: 0.8602777564643597
10-Repeat:	F1: 0.8473331229359962	Precision: 0.8279732123946537	Recall: 0.8677971303613903

Avg. 10 Repeat F1-score: 0.84178	Precision: 0.82221	Recall: 0.8628
