1-Repeat:	F1: 0.882226858456351	Precision: 0.8893965820737106	Recall: 0.8754699608685644
2-Repeat:	F1: 0.888552895864949	Precision: 0.895649147541725	Recall: 0.8820685951047341
3-Repeat:	F1: 0.8797169970464885	Precision: 0.8838558047559332	Recall: 0.8756234174787079
4-Repeat:	F1: 0.8895589646613572	Precision: 0.8932813034584411	Recall: 0.8859817386633929
5-Repeat:	F1: 0.8769964553166772	Precision: 0.8799220780647415	Recall: 0.8749328627330623
6-Repeat:	F1: 0.8864539075589378	Precision: 0.8910652541906515	Recall: 0.8819151384945907
7-Repeat:	F1: 0.885523287852132	Precision: 0.8825455548476315	Recall: 0.8886672293409038
8-Repeat:	F1: 0.8868545813304313	Precision: 0.8937899409484158	Recall: 0.880303844088084
9-Repeat:	F1: 0.8860129438318033	Precision: 0.8907038376655487	Recall: 0.8814547686641602
10-Repeat:	F1: 0.8816677559235261	Precision: 0.8860196790631634	Recall: 0.8775416251055014

Avg. 10 Repeat F1-score: 0.88436	Precision: 0.88862	Recall: 0.8804
