Repeat#	Precision	Recall	F1_Score
0	0.7153691986184887	0.7983580142714647	0.7543259734262519
1	0.7028196968101988	0.8023478861351953	0.7491601752237724
2	0.709173479834857	0.8035755390163432	0.7532249290275571
3	0.7065727168711656	0.7995856671526126	0.750038208170332
4	0.7095291674347045	0.8012736898641909	0.7525745303903674
5	0.7067562813639385	0.7991252973221822	0.7500421535052619
6	0.7042267932877825	0.8001227652881148	0.7489696822967414
7	0.7040227544857087	0.7999693086779713	0.748933493795153
8	0.7025488539274511	0.7962863500345277	0.7463303087369797
9	0.7014958688795957	0.7945983273229494	0.7448044547776038

Avg.	0.7062514811513891	0.7995242845085552	0.7498403909350021
