1-Repeat:	F1: 0.677392644284353	Precision: 0.6872343758643165	Recall: 0.6698381032762987
2-Repeat:	F1: 0.6810333520721973	Precision: 0.6861342498311982	Recall: 0.6786618583595488
3-Repeat:	F1: 0.6770523008111323	Precision: 0.7029419419675811	Recall: 0.6560270083633852
4-Repeat:	F1: 0.6735824330035961	Precision: 0.6984763588800758	Recall: 0.6532647893808026
5-Repeat:	F1: 0.6736407079558411	Precision: 0.7018429256573645	Recall: 0.6487378193815698
6-Repeat:	F1: 0.6703579550327682	Precision: 0.6920110096981653	Recall: 0.6513465817540091
7-Repeat:	F1: 0.6741586297883633	Precision: 0.6811298197010893	Recall: 0.6679198956495052
8-Repeat:	F1: 0.6746632882328236	Precision: 0.7007554456904906	Recall: 0.6527276912453004
9-Repeat:	F1: 0.6632056565096465	Precision: 0.6894384307740372	Recall: 0.6458988720939155
10-Repeat:	F1: 0.6655539172645424	Precision: 0.700352599344401	Recall: 0.6363078339599478

Avg. 10 Repeat F1-score: 0.67306	Precision: 0.69403	Recall: 0.65607
