1-Repeat:	F1: 0.7926102563572934	Precision: 0.8203420044787473	Recall: 0.7671295941072662
2-Repeat:	F1: 0.7973768360116283	Precision: 0.8140749820542168	Recall: 0.7828588966469731
3-Repeat:	F1: 0.7894824093749804	Precision: 0.8267050124504433	Recall: 0.7596869485153073
4-Repeat:	F1: 0.7947296075016961	Precision: 0.8148588526409647	Recall: 0.779943221054247
5-Repeat:	F1: 0.790848113550954	Precision: 0.811636006412508	Recall: 0.7755697076651576
6-Repeat:	F1: 0.7880425933685691	Precision: 0.8103459400739685	Recall: 0.7732678585130055
7-Repeat:	F1: 0.7926997899746878	Precision: 0.8100463620387692	Recall: 0.7787922964781708
8-Repeat:	F1: 0.792711372254374	Precision: 0.8137338859679978	Recall: 0.7777181002071665
9-Repeat:	F1: 0.7926172362136973	Precision: 0.813404950163893	Recall: 0.7775646435970229
10-Repeat:	F1: 0.7918311422713498	Precision: 0.8101744208416484	Recall: 0.7753395227499424

Avg. 10 Repeat F1-score: 0.79229	Precision: 0.81453	Recall: 0.77479
