1-Repeat:	F1: 0.44319976175243503	Precision: 0.3815852653340528	Recall: 0.5302693163508018
2-Repeat:	F1: 0.4346174874608506	Precision: 0.39153752305237394	Recall: 0.49098442415407045
3-Repeat:	F1: 0.4344454244305151	Precision: 0.3737563719304764	Recall: 0.524284508555206
4-Repeat:	F1: 0.4535068458696336	Precision: 0.3940802820012432	Recall: 0.5351799278753933
5-Repeat:	F1: 0.45555284110813565	Precision: 0.41212873981104586	Recall: 0.513926187370521
6-Repeat:	F1: 0.4685312722583607	Precision: 0.41421942496425035	Recall: 0.5394767129594107
7-Repeat:	F1: 0.42713239712207896	Precision: 0.38654281299480825	Recall: 0.48001227652881145
8-Repeat:	F1: 0.4632707841546352	Precision: 0.40839270555610846	Recall: 0.5379421468579759
9-Repeat:	F1: 0.45093867727144715	Precision: 0.4108528813607513	Recall: 0.5034144095756925
10-Repeat:	F1: 0.45304868300593415	Precision: 0.3976479568453862	Recall: 0.5277372822834343

Avg. 10 Repeat F1-score: 0.44842	Precision: 0.39707	Recall: 0.51832
