1-Repeat:	F1: 0.39239229957048255	Precision: 0.34820166044103906	Recall: 0.4694237704289112
2-Repeat:	F1: 0.36997613641994664	Precision: 0.31452469674880307	Recall: 0.452006445177626
3-Repeat:	F1: 0.3384270087191745	Precision: 0.2982243907052769	Recall: 0.4382720785697844
4-Repeat:	F1: 0.36145850972352717	Precision: 0.33547508122479225	Recall: 0.42960178009667765
5-Repeat:	F1: 0.37804767545957857	Precision: 0.3715832737499119	Recall: 0.4137190209468273
6-Repeat:	F1: 0.29592667943361306	Precision: 0.2399712801010805	Recall: 0.3937696616281746
7-Repeat:	F1: 0.3607163070736078	Precision: 0.35024445255309195	Recall: 0.39515077111946595
8-Repeat:	F1: 0.38482504735767953	Precision: 0.3470929633829798	Recall: 0.4437965165349497
9-Repeat:	F1: 0.35428947750221806	Precision: 0.3191980692168842	Recall: 0.40804112637151846
10-Repeat:	F1: 0.3897193223652112	Precision: 0.3671536699787197	Recall: 0.45676360009207395

Avg. 10 Repeat F1-score: 0.36258	Precision: 0.32917	Recall: 0.43005
