Sentence #	Word	Tag
Sentence: 0	Baltimore'dan	B-fromloc.city_name
Sentence: 0	Dallas'a	B-toloc.city_name
Sentence: 0	gidiş	B-round_trip
Sentence: 0	dönüş	I-round_trip
Sentence: 0	yolculuk	O
Sentence: 0	yapmak	O
Sentence: 0	istiyorum	O
Sentence: 1	baltimore'tan	B-fromloc.city_name
Sentence: 1	philadelphia'ye	B-toloc.city_name
Sentence: 1	gidiş	B-round_trip
Sentence: 1	dönüş	I-round_trip
Sentence: 1	ücretleri	O
Sentence: 1	1000	B-fare_amount
Sentence: 1	dolardan	O
Sentence: 1	az,	B-cost_relative
Sentence: 1	denver'den	B-fromloc.city_name
Sentence: 1	philadelphia'ye	B-toloc.city_name
Sentence: 1	gidiş	B-round_trip
Sentence: 1	dönüş	I-round_trip
Sentence: 1	seferleri	O
Sentence: 1	pittsburgh'dan	O
Sentence: 1	philadelphia'ye	B-toloc.city_name
Sentence: 1	1000	B-fare_amount
Sentence: 1	dolardan	O
Sentence: 1	az	B-cost_relative
Sentence: 1	gidiş	B-round_trip
Sentence: 1	dönüş	I-round_trip
Sentence: 1	ücretleri	O
Sentence: 2	on	B-arrive_date.day_number
Sentence: 2	dördüncü	I-arrive_date.day_number
Sentence: 2	Haziran	B-arrive_date.month_name
Sentence: 2	ayındaki	O
Sentence: 2	baltimore'a	B-toloc.city_name
Sentence: 2	gelen	O
Sentence: 2	uçuşları	O
Sentence: 2	göster	O
Sentence: 3	San	B-fromloc.city_name
Sentence: 3	Francisco'dan	O
Sentence: 3	kalkan	O
Sentence: 3	uçuşlar	O
Sentence: 3	Indianapolis	B-stoploc.city_name
Sentence: 3	üzerinden	O
Sentence: 3	Washington'a	B-toloc.city_name
Sentence: 3	uçuyor	O
Sentence: 3	ve	O
Sentence: 3	akşam	B-arrive_time.time
Sentence: 3	9'da	O
Sentence: 3	geliyor.	O
Sentence: 4	Hangi	O
Sentence: 4	havayolları	O
Sentence: 4	boston'dan	B-fromloc.city_name
Sentence: 4	washington	B-toloc.city_name
Sentence: 4	dc'ye	B-toloc.state_code
Sentence: 4	diğer	O
Sentence: 4	şehirler	O
Sentence: 4	üzerinden	O
Sentence: 4	uçuyor	O
Sentence: 5	charlotte'dan	B-fromloc.city_name
Sentence: 5	las	B-toloc.city_name
Sentence: 5	vegas'a	O
Sentence: 5	st.	B-stoploc.city_name
Sentence: 5	louis	I-stoploc.city_name
Sentence: 5	umarım	O
Sentence: 5	bir	O
Sentence: 5	akşam	B-meal_description
Sentence: 5	yemeği	I-meal_description
Sentence: 5	uçuşu	O
Sentence: 5	nasıl	O
Sentence: 5	bulabilirim	O
Sentence: 6	tamam	O
Sentence: 6	ve	O
Sentence: 6	sonra	O
Sentence: 6	pittsburgh'dan	B-fromloc.city_name
Sentence: 6	dördüncü	B-depart_date.day_number
Sentence: 6	eylülde	B-depart_date.month_name
Sentence: 6	atlanta'ya	B-toloc.city_name
Sentence: 6	seyahat	O
Sentence: 6	etmek	O
Sentence: 6	istiyorum	O
Sentence: 7	philadelphia	B-fromloc.city_name
Sentence: 7	-	O
Sentence: 7	cincinnati	B-toloc.city_name
Sentence: 7	arasındaki	O
Sentence: 7	tüm	O
Sentence: 7	uçuşları	O
Sentence: 7	göster	O
Sentence: 8	tamam	O
Sentence: 8	bize	O
Sentence: 8	öğleden	B-depart_time.period_of_day
Sentence: 8	sonra	I-depart_time.period_of_day
Sentence: 8	Indianapolis'ten	B-fromloc.city_name
Sentence: 8	San	B-toloc.city_name
Sentence: 8	Diego'ya	O
Sentence: 8	bir	O
Sentence: 8	uçakla	O
Sentence: 8	uçmak	O
Sentence: 8	istiyorum.	O
Sentence: 9	salı	B-depart_date.day_name
Sentence: 9	günü	O
Sentence: 9	hangi	O
Sentence: 9	uçuşlar	O
Sentence: 9	phoenix'i	B-fromloc.city_name
Sentence: 9	st.	B-toloc.city_name
Sentence: 9	paul	I-toloc.city_name
Sentence: 9	minnesota	B-toloc.state_name
Sentence: 9	ve	O
Sentence: 9	öğleden	B-depart_time.time
Sentence: 9	sonra	B-depart_time.time_relative
Sentence: 9	ayrılmak	O
Sentence: 10	chicago'dan	B-fromloc.city_name
Sentence: 10	amerikan	B-airline_name
Sentence: 10	los	B-toloc.city_name
Sentence: 10	angeles'a	O
Sentence: 10	sabah	B-depart_time.period_of_day
Sentence: 10	uçuşları	O
Sentence: 11	san	B-toloc.airport_name
Sentence: 11	francisco	I-toloc.airport_name
Sentence: 11	havaalanına	O
Sentence: 11	ne	O
Sentence: 11	tür	O
Sentence: 11	karayolu	O
Sentence: 11	taşımacılığı	O
Sentence: 11	var	O
Sentence: 12	önümüzdeki	B-depart_date.date_relative
Sentence: 12	iki	O
Sentence: 12	gün	O
Sentence: 12	içinde	O
Sentence: 12	Nashville'den	B-fromloc.city_name
Sentence: 12	San	B-toloc.city_name
Sentence: 12	Jose'ye	O
Sentence: 12	veya	B-or
Sentence: 12	Tacoma'ya	B-toloc.city_name
Sentence: 12	uçmak	O
Sentence: 12	istiyorum.	O
Sentence: 13	Continental	B-airline_name
Sentence: 13	havayolları	I-airline_name
Sentence: 13	denver'den	B-fromloc.city_name
Sentence: 13	san	B-toloc.city_name
Sentence: 13	francisco'ya	O
Sentence: 13	uçuyor	O
Sentence: 13	mu?	O
Sentence: 14	Chicago'ya	B-fromloc.city_name
Sentence: 14	milwaukee	B-toloc.city_name
Sentence: 15	twa'nın	B-airline_code
Sentence: 15	işletme	B-class_type
Sentence: 15	sınıfı	I-class_type
Sentence: 15	içinde	O
Sentence: 15	kaç	O
Sentence: 15	uçuşu	O
Sentence: 15	var	O
Sentence: 16	Bana	O
Sentence: 16	birinci	B-class_type
Sentence: 16	sınıf	I-class_type
Sentence: 16	dallas	B-fromloc.city_name
Sentence: 16	den	O
Sentence: 16	baltimoreya	B-toloc.city_name
Sentence: 16	uçuşları	O
Sentence: 16	göster	O
Sentence: 17	Boston'dan	B-fromloc.city_name
Sentence: 17	philadelphia'ye	B-toloc.city_name
Sentence: 17	en	B-cost_relative
Sentence: 17	ucuz	I-cost_relative
Sentence: 17	tek	B-round_trip
Sentence: 17	yönlü	O
Sentence: 17	tarifeyi	O
Sentence: 17	bulmak	O
Sentence: 17	isterim	O
Sentence: 18	kaç	O
Sentence: 18	tane	O
Sentence: 18	rezervasyon	O
Sentence: 18	sınıfı	O
Sentence: 18	var	O
Sentence: 19	tacoma'dan	B-fromloc.city_name
Sentence: 19	on	B-depart_date.day_number
Sentence: 19	dokuzuncu	I-depart_date.day_number
Sentence: 19	çarşamba	B-depart_date.day_name
Sentence: 19	günü	O
Sentence: 19	san	B-toloc.city_name
Sentence: 19	jose'ye	O
Sentence: 19	olan	O
Sentence: 19	uçuşlar	O
Sentence: 19	neler	O
Sentence: 20	hangi	O
Sentence: 20	uçuşlar	O
Sentence: 20	pittsburgh'dan	B-fromloc.city_name
Sentence: 20	7	B-depart_time.time
Sentence: 20	temmuz	B-depart_date.month_name
Sentence: 20	sonra	B-depart_time.time_relative
Sentence: 20	beşinci	B-depart_date.day_number
Sentence: 20	sırada	O
Sentence: 20	ayrılır	O
Sentence: 20	ve	O
Sentence: 20	san	B-toloc.city_name
Sentence: 20	francisco'ya	O
Sentence: 20	ulaşır	O
Sentence: 21	Lütfen	O
Sentence: 21	general	B-fromloc.airport_name
Sentence: 21	mitchell	I-fromloc.airport_name
Sentence: 21	uluslararasından	O
Sentence: 21	gelen	O
Sentence: 21	ve	O
Sentence: 21	giden	O
Sentence: 21	tüm	O
Sentence: 21	uçuşları	O
Sentence: 21	listele	O
Sentence: 22	hangi	O
Sentence: 22	saat	O
Sentence: 22	diliminde	O
Sentence: 22	denver	B-city_name
Sentence: 23	Boston	B-city_name
Sentence: 23	ve	O
Sentence: 23	Baltimore’da	B-city_name
Sentence: 23	kara	O
Sentence: 23	taşımacılığı	O
Sentence: 23	göster.	O
Sentence: 24	baltimore	B-fromloc.city_name
Sentence: 24	gelen	O
Sentence: 24	boston	B-toloc.city_name
Sentence: 24	bir	O
Sentence: 24	yemek	B-meal
Sentence: 24	sunan	O
Sentence: 24	ilk	B-flight_mod
Sentence: 24	uçuş	O
Sentence: 24	bulmak	O
Sentence: 24	istiyorum	O
Sentence: 25	seattle'dan	B-fromloc.city_name
Sentence: 25	salt	B-toloc.city_name
Sentence: 25	lake	I-toloc.city_name
Sentence: 25	city'ye	O
Sentence: 26	Bana	O
Sentence: 26	ekonomik	B-economy
Sentence: 26	ücretlerle	O
Sentence: 26	dallas'tan	B-fromloc.city_name
Sentence: 26	baltimore'a	B-toloc.city_name
Sentence: 26	uçuşları	O
Sentence: 26	gösterebilir	O
Sentence: 26	misin	O
Sentence: 27	phoenix'ten	B-fromloc.city_name
Sentence: 27	hangi	O
Sentence: 27	uçuşlar	O
Sentence: 27	kalkıyor	O
Sentence: 28	denver	B-toloc.city_name
Sentence: 28	pittsburgh	B-fromloc.city_name
Sentence: 28	uçak	O
Sentence: 28	bileti	O
Sentence: 29	miami'den	B-fromloc.city_name
Sentence: 29	ayrılan	O
Sentence: 29	uçuşları	O
Sentence: 29	bize	O
Sentence: 29	öğleden	B-depart_time.time
Sentence: 29	sonra	B-depart_time.time_relative
Sentence: 29	ayrılan	O
Sentence: 29	havayolundan	O
Sentence: 29	cleveland'a	B-toloc.city_name
Sentence: 29	göster	O
Sentence: 30	Lütfen	O
Sentence: 30	bana,	O
Sentence: 30	Dallas	B-fromloc.city_name
Sentence: 30	ve	O
Sentence: 30	Baltimore	B-toloc.city_name
Sentence: 30	arasındaki	O
Sentence: 30	tüm	O
Sentence: 30	uçuşların	O
Sentence: 30	bir	O
